(5, 94)
(5, 95)
(6, 94)
(6, 95)
(5, 85)
(6, 85)
(7, 85)
(4, 84)
(8, 84)
(3, 83)
(9, 83)
(3, 82)
(9, 82)
(6, 81)
(4, 80)
(8, 80)
(5, 79)
(6, 79)
(7, 79)
(6, 78)
(3, 75)
(4, 75)
(5, 75)
(3, 74)
(4, 74)
(5, 74)
(2, 73)
(6, 73)
(1, 71)
(2, 71)
(6, 71)
(7, 71)
(3, 60)
(4, 60)
(3, 61)
(4, 61)
(4, 1)
(4, 2)
(5, 1)
(5, 2)
(4, 11)
(5, 11)
(6, 11)
(3, 12)
(7, 12)
(2, 13)
(8, 13)
(2, 14)
(8, 14)
(5, 15)
(3, 16)
(7, 16)
(4, 17)
(5, 17)
(6, 17)
(5, 18)
(2, 21)
(3, 21)
(4, 21)
(2, 22)
(3, 22)
(4, 22)
(1, 23)
(5, 23)
(0, 25)
(1, 25)
(5, 25)
(6, 25)
(2, 35)
(3, 35)
(2, 36)
(3, 36)
