(25, 96)
(25, 97)
(26, 96)
(26, 97)
(25, 87)
(26, 87)
(27, 87)
(24, 86)
(28, 86)
(23, 85)
(29, 85)
(23, 84)
(29, 84)
(26, 83)
(24, 82)
(28, 82)
(25, 81)
(26, 81)
(27, 81)
(26, 80)
(23, 77)
(24, 77)
(25, 77)
(23, 76)
(24, 76)
(25, 76)
(22, 75)
(26, 75)
(21, 73)
(22, 73)
(26, 73)
(27, 73)
(23, 62)
(24, 62)
(23, 63)
(24, 63)
(9, 18)
(9, 19)
(10, 18)
(10, 19)
(9, 28)
(10, 28)
(11, 28)
(8, 29)
(12, 29)
(7, 30)
(13, 30)
(7, 31)
(13, 31)
(10, 32)
(8, 33)
(12, 33)
(9, 34)
(10, 34)
(11, 34)
(10, 35)
(7, 38)
(8, 38)
(9, 38)
(7, 39)
(8, 39)
(9, 39)
(6, 40)
(10, 40)
(5, 42)
(6, 42)
(10, 42)
(11, 42)
(7, 52)
(8, 52)
(7, 53)
(8, 53)
(17, 43)
(18, 43)
(17, 44)
(19, 44)
(19, 45)
(19, 46)
(20, 46)
(24, 3)
(24, 4)
(25, 3)
(25, 4)
(24, 13)
(25, 13)
(26, 13)
(23, 14)
(27, 14)
(22, 15)
(28, 15)
(22, 16)
(28, 16)
(25, 17)
(23, 18)
(27, 18)
(24, 19)
(25, 19)
(26, 19)
(25, 20)
(22, 23)
(23, 23)
(24, 23)
(22, 24)
(23, 24)
(24, 24)
(21, 25)
(25, 25)
(20, 27)
(21, 27)
(25, 27)
(26, 27)
(22, 37)
(23, 37)
(22, 38)
(23, 38)
(32,28)
(32,29)
(33,28)
(34,29)
(34,30)
(34,31)
(35,31)
(54, 1)
(54, 2)
(55, 1)
(55, 2)
(54, 11)
(55, 11)
(56, 11)
(53, 12)
(57, 12)
(52, 13)
(58, 13)
(52, 14)
(58, 14)
(55, 15)
(53, 16)
(57, 16)
(54, 17)
(55, 17)
(56, 17)
(55, 18)
(52, 21)
(53, 21)
(54, 21)
(52, 22)
(53, 22)
(54, 22)
(51, 23)
(55, 23)
(50, 25)
(51, 25)
(55, 25)
(56, 25)
(52, 35)
(53, 35)
(52, 36)
(53, 36)
(7, 71)
(7, 72)
(8, 71)
(9, 72)
(9, 73)
(9, 74)
(10, 74)
(87, 14)
(87, 15) 
(88, 13)
(88, 15)
(89, 13)
(90, 12)
(90, 13)
