(25, 94)
(25, 95)
(26, 94)
(26, 95)
(25, 85)
(26, 85)
(27, 85)
(24, 84)
(28, 84)
(23, 83)
(29, 83)
(23, 82)
(29, 82)
(26, 81)
(24, 80)
(28, 80)
(25, 79)
(26, 79)
(27, 79)
(26, 78)
(23, 75)
(24, 75)
(25, 75)
(23, 74)
(24, 74)
(25, 74)
(22, 73)
(26, 73)
(21, 71)
(22, 71)
(26, 71)
(27, 71)
(23, 60)
(24, 60)
(23, 61)
(24, 61)
(9, 16)
(9, 17)
(10, 16)
(10, 17)
(9, 26)
(10, 26)
(11, 26)
(8, 27)
(12, 27)
(7, 28)
(13, 28)
(7, 29)
(13, 29)
(10, 30)
(8, 31)
(12, 31)
(9, 32)
(10, 32)
(11, 32)
(10, 33)
(7, 36)
(8, 36)
(9, 36)
(7, 37)
(8, 37)
(9, 37)
(6, 38)
(10, 38)
(5, 40)
(6, 40)
(10, 40)
(11, 40)
(7, 50)
(8, 50)
(7, 51)
(8, 51)
(17, 41)
(18, 41)
(17, 42)
(19, 42)
(19, 43)
(19, 44)
(20, 44)
(24, 1)
(24, 2)
(25, 1)
(25, 2)
(24, 11)
(25, 11)
(26, 11)
(23, 12)
(27, 12)
(22, 13)
(28, 13)
(22, 14)
(28, 14)
(25, 15)
(23, 16)
(27, 16)
(24, 17)
(25, 17)
(26, 17)
(25, 18)
(22, 21)
(23, 21)
(24, 21)
(22, 22)
(23, 22)
(24, 22)
(21, 23)
(25, 23)
(20, 25)
(21, 25)
(25, 25)
(26, 25)
(22, 35)
(23, 35)
(22, 36)
(23, 36)
(87, 14)
(87, 15) 
(88, 13)
(88, 15) 
(89, 13) 
(90, 12)
(90, 13)
